Country,Region,ISO3,Observation Period,Unit of Analysis,Population Scope,Income Definition,Currency,Actual Income,Actual Income Period,Baseline Income,Baseline Income Period,Food Component (Monthly Per-Capita LCU),Housing+Utilities Component (Monthly Per-Capita LCU),Total Household Consumption (Monthly Per-Capita LCU),Income Index (Mean Proxy),LMI (Mean Proxy),Income Index,LMI,LMI Construction,Median-Citizen Multiplier (Decile Proxy),Share Below Baseline (Decile Approx),Share At or Above 1x Baseline (Decile Approx),Share At or Above 2x Baseline (Decile Approx),Share At or Above 5x Baseline (Decile Approx),Distribution Data Year (Deciles),Baseline Method,OECD Monetary Scale Applied,Source - Baseline Components,Source URL - Baseline Components,Source - Income Proxy,Source URL - Income Proxy,Source - Population,Source URL - Population,Source - Distribution,Source URL - Distribution,Computed At (UTC)
Portugal,Portugal,PRT,2022,individual,country-level per-capita proxy,"Household final consumption expenditure (COICOP total), monthly per-capita LCU proxy",LCU,1332.550477,monthly,461.663047,monthly,230.937719,230.725327,1332.550477,2.886414,1.886414,2.478708,1.478708,median-citizen decile proxy,2.478708,0.100000,0.900000,0.900000,0.100000,2022,Direct cost baseline: food + housing/utilities (official OECD components).,"values x 1,000,000 (series reported in millions)","OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (COICOP total _T, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,World Bank WDI SI.DST.FRST.10 and SI.DST.10TH.10,https://api.worldbank.org/v2/en/indicator/SI.DST.FRST.10?format=json,2026-03-17T10:15:20Z
Belgium,Belgium,BEL,2022,individual,country-level per-capita proxy,"Household final consumption expenditure (COICOP total), monthly per-capita LCU proxy",LCU,1905.542223,monthly,722.278680,monthly,232.357409,489.921271,1905.542223,2.638237,1.638237,2.440369,1.440369,median-citizen decile proxy,2.440369,0.000000,1.000000,0.900000,0.100000,2022,Direct cost baseline: food + housing/utilities (official OECD components).,"values x 1,000,000 (series reported in millions)","OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (COICOP total _T, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,World Bank WDI SI.DST.FRST.10 and SI.DST.10TH.10,https://api.worldbank.org/v2/en/indicator/SI.DST.FRST.10?format=json,2026-03-17T10:15:20Z
Sweden,Sweden,SWE,2022,individual,country-level per-capita proxy,"Household final consumption expenditure (COICOP total), monthly per-capita LCU proxy",LCU,20095.818854,monthly,7648.838366,monthly,2567.828566,5081.009801,20095.818854,2.627303,1.627303,2.390846,1.390846,median-citizen decile proxy,2.390846,0.100000,0.900000,0.900000,0.100000,2022,Direct cost baseline: food + housing/utilities (official OECD components).,"values x 1,000,000 (series reported in millions)","OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (COICOP total _T, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,World Bank WDI SI.DST.FRST.10 and SI.DST.10TH.10,https://api.worldbank.org/v2/en/indicator/SI.DST.FRST.10?format=json,2026-03-17T10:15:20Z
Lithuania,Lithuania,LTU,2022,individual,country-level per-capita proxy,"Household final consumption expenditure (COICOP total), monthly per-capita LCU proxy",LCU,1125.040068,monthly,406.570747,monthly,216.538078,190.032669,1125.040068,2.767145,1.767145,2.379744,1.379744,median-citizen decile proxy,2.379744,0.100000,0.900000,0.900000,0.100000,2022,Direct cost baseline: food + housing/utilities (official OECD components).,"values x 1,000,000 (series reported in millions)","OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (COICOP total _T, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,World Bank WDI SI.DST.FRST.10 and SI.DST.10TH.10,https://api.worldbank.org/v2/en/indicator/SI.DST.FRST.10?format=json,2026-03-17T10:15:20Z
Poland,Poland,POL,2022,individual,country-level per-capita proxy,"Household final consumption expenditure (COICOP total), monthly per-capita LCU proxy",LCU,4020.994947,monthly,1564.203265,monthly,742.675658,821.527607,4020.994947,2.570635,1.570635,2.364984,1.364984,median-citizen decile proxy,2.364984,0.100000,0.900000,0.900000,0.100000,2022,Direct cost baseline: food + housing/utilities (official OECD components).,"values x 1,000,000 (series reported in millions)","OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (COICOP total _T, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,World Bank WDI SI.DST.FRST.10 and SI.DST.10TH.10,https://api.worldbank.org/v2/en/indicator/SI.DST.FRST.10?format=json,2026-03-17T10:15:20Z
Italy,Italy,ITA,2022,individual,country-level per-capita proxy,"Household final consumption expenditure (COICOP total), monthly per-capita LCU proxy",LCU,1665.669948,monthly,640.028295,monthly,239.176235,400.852060,1665.669948,2.602494,1.602494,2.348751,1.348751,median-citizen decile proxy,2.348751,0.100000,0.900000,0.900000,0.100000,2022,Direct cost baseline: food + housing/utilities (official OECD components).,"values x 1,000,000 (series reported in millions)","OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (COICOP total _T, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,World Bank WDI SI.DST.FRST.10 and SI.DST.10TH.10,https://api.worldbank.org/v2/en/indicator/SI.DST.FRST.10?format=json,2026-03-17T10:15:20Z
Greece,Greece,GRC,2022,individual,country-level per-capita proxy,"Household final consumption expenditure (COICOP total), monthly per-capita LCU proxy",LCU,1275.592230,monthly,488.992849,monthly,204.081489,284.911361,1275.592230,2.608611,1.608611,2.334707,1.334707,median-citizen decile proxy,2.334707,0.100000,0.900000,0.900000,0.100000,2022,Direct cost baseline: food + housing/utilities (official OECD components).,"values x 1,000,000 (series reported in millions)","OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (COICOP total _T, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,World Bank WDI SI.DST.FRST.10 and SI.DST.10TH.10,https://api.worldbank.org/v2/en/indicator/SI.DST.FRST.10?format=json,2026-03-17T10:15:20Z
Costa Rica,Costa Rica,CRI,2021,individual,country-level per-capita proxy,"Household final consumption expenditure (COICOP total), monthly per-capita LCU proxy",LCU,472663.398281,monthly,158608.837284,monthly,93241.132756,65367.704528,472663.398281,2.980057,1.980057,2.331895,1.331895,median-citizen decile proxy,2.331895,0.100000,0.900000,0.900000,0.100000,2022,Direct cost baseline: food + housing/utilities (official OECD components).,"values x 1,000,000 (series reported in millions)","OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (COICOP total _T, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,World Bank WDI SI.DST.FRST.10 and SI.DST.10TH.10,https://api.worldbank.org/v2/en/indicator/SI.DST.FRST.10?format=json,2026-03-17T10:15:20Z
Hungary,Hungary,HUN,2022,individual,country-level per-capita proxy,"Household final consumption expenditure (COICOP total), monthly per-capita LCU proxy",LCU,283491.491060,monthly,111514.601553,monthly,47370.457531,64144.144022,283491.491060,2.542192,1.542192,2.322928,1.322928,median-citizen decile proxy,2.322928,0.100000,0.900000,0.900000,0.100000,2017,Direct cost baseline: food + housing/utilities (official OECD components).,"values x 1,000,000 (series reported in millions)","OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (COICOP total _T, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,World Bank WDI SI.DST.FRST.10 and SI.DST.10TH.10,https://api.worldbank.org/v2/en/indicator/SI.DST.FRST.10?format=json,2026-03-17T10:15:20Z
France,France,FRA,2022,individual,country-level per-capita proxy,"Household final consumption expenditure (COICOP total), monthly per-capita LCU proxy",LCU,1692.530161,monthly,665.030595,monthly,223.535793,441.494802,1692.530161,2.545041,1.545041,2.303262,1.303262,median-citizen decile proxy,2.303262,0.100000,0.900000,0.900000,0.100000,2022,Direct cost baseline: food + housing/utilities (official OECD components).,"values x 1,000,000 (series reported in millions)","OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (COICOP total _T, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,World Bank WDI SI.DST.FRST.10 and SI.DST.10TH.10,https://api.worldbank.org/v2/en/indicator/SI.DST.FRST.10?format=json,2026-03-17T10:15:20Z
Japan,Japan,JPN,2022,individual,country-level per-capita proxy,"Household final consumption expenditure (COICOP total), monthly per-capita LCU proxy",LCU,201802.415343,monthly,82745.928020,monthly,32135.533961,50610.394060,201802.415343,2.438820,1.438820,2.246763,1.246763,median-citizen decile proxy,2.246763,0.100000,0.900000,0.900000,0.100000,2020,Direct cost baseline: food + housing/utilities (official OECD components).,"values x 1,000,000 (series reported in millions)","OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (COICOP total _T, XDC.V)",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,World Bank WDI SI.DST.FRST.10 and SI.DST.10TH.10,https://api.worldbank.org/v2/en/indicator/SI.DST.FRST.10?format=json,2026-03-17T10:15:20Z
