Country,Region,ISO3,Observation Period,Unit of Analysis,Population Scope,Income Definition,Currency,Actual Income,Actual Income Period,Baseline Income,Baseline Income Period,Food Component (PPP Monthly),Housing and Utilities Component (PPP Monthly),Transport Component (PPP Monthly),Healthcare Component (PPP Monthly),Contingency Rate,Contingency Amount (PPP Monthly),Income Index,LMI,Baseline Method,Source - Actual Income,Source - Healthcare,Source - Food,Source - Share Ratios,Computed At (UTC)
United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,GBR,2022,individual,country-level per-capita proxy,"GNI per capita PPP (current international $), monthly equivalent",USD,4945.000000,monthly,818.969053,monthly,67.266875,97.019531,52.606146,541.412127,0.0800,60.664374,6.038079,5.038079,Composite baseline: FAO CoAHD food cost + OECD housing/transport share scaling + World Bank health expenditure + 8% contingency.,World Bank WDI NY.GNP.PCAP.PP.CD,World Bank WDI SH.XPD.CHEX.PP.CD,FAO CoAHD item 70040,"OECD household expenditure shares (food 15.6%, housing 22.5%, transport 12.2%)",2026-03-17T08:48:43Z
Ireland,Ireland,IRL,2022,individual,country-level per-capita proxy,"GNI per capita PPP (current international $), monthly equivalent",USD,7900.000000,monthly,1012.990468,monthly,76.702500,110.628606,59.985288,690.637742,0.0800,75.036331,7.798691,6.798691,Composite baseline: FAO CoAHD food cost + OECD housing/transport share scaling + World Bank health expenditure + 8% contingency.,World Bank WDI NY.GNP.PCAP.PP.CD,World Bank WDI SH.XPD.CHEX.PP.CD,FAO CoAHD item 70040,"OECD household expenditure shares (food 15.6%, housing 22.5%, transport 12.2%)",2026-03-17T08:48:43Z
Italy,Italy,ITA,2022,individual,country-level per-capita proxy,"GNI per capita PPP (current international $), monthly equivalent",USD,4815.833333,monthly,829.471127,monthly,109.575000,158.040865,85.693269,414.719686,0.0800,61.442306,5.805908,4.805908,Composite baseline: FAO CoAHD food cost + OECD housing/transport share scaling + World Bank health expenditure + 8% contingency.,World Bank WDI NY.GNP.PCAP.PP.CD,World Bank WDI SH.XPD.CHEX.PP.CD,FAO CoAHD item 70040,"OECD household expenditure shares (food 15.6%, housing 22.5%, transport 12.2%)",2026-03-17T08:48:43Z
Japan,Japan,JPN,2022,individual,country-level per-capita proxy,"GNI per capita PPP (current international $), monthly equivalent",USD,4175.000000,monthly,1232.050913,monthly,202.713750,292.375601,158.532548,487.165983,0.0800,91.263031,3.388659,2.388659,Composite baseline: FAO CoAHD food cost + OECD housing/transport share scaling + World Bank health expenditure + 8% contingency.,World Bank WDI NY.GNP.PCAP.PP.CD,World Bank WDI SH.XPD.CHEX.PP.CD,FAO CoAHD item 70040,"OECD household expenditure shares (food 15.6%, housing 22.5%, transport 12.2%)",2026-03-17T08:48:43Z
Republic of Korea,Republic of Korea,KOR,2022,individual,country-level per-capita proxy,"GNI per capita PPP (current international $), monthly equivalent",USD,4681.666667,monthly,1079.435363,monthly,184.146875,265.596454,144.012300,405.721559,0.0800,79.958175,4.337144,3.337144,Composite baseline: FAO CoAHD food cost + OECD housing/transport share scaling + World Bank health expenditure + 8% contingency.,World Bank WDI NY.GNP.PCAP.PP.CD,World Bank WDI SH.XPD.CHEX.PP.CD,FAO CoAHD item 70040,"OECD household expenditure shares (food 15.6%, housing 22.5%, transport 12.2%)",2026-03-17T08:48:43Z
Netherlands (Kingdom of the),Netherlands (Kingdom of the),NLD,2022,individual,country-level per-capita proxy,"GNI per capita PPP (current international $), monthly equivalent",USD,6455.833333,monthly,1008.275796,monthly,88.268750,127.310697,69.030689,648.978564,0.0800,74.687096,6.402845,5.402845,Composite baseline: FAO CoAHD food cost + OECD housing/transport share scaling + World Bank health expenditure + 8% contingency.,World Bank WDI NY.GNP.PCAP.PP.CD,World Bank WDI SH.XPD.CHEX.PP.CD,FAO CoAHD item 70040,"OECD household expenditure shares (food 15.6%, housing 22.5%, transport 12.2%)",2026-03-17T08:48:43Z
Norway,Norway,NOR,2022,individual,country-level per-capita proxy,"GNI per capita PPP (current international $), monthly equivalent",USD,10467.500000,monthly,1303.563601,monthly,121.141250,174.722957,94.738670,816.400458,0.0800,96.560267,8.029911,7.029911,Composite baseline: FAO CoAHD food cost + OECD housing/transport share scaling + World Bank health expenditure + 8% contingency.,World Bank WDI NY.GNP.PCAP.PP.CD,World Bank WDI SH.XPD.CHEX.PP.CD,FAO CoAHD item 70040,"OECD household expenditure shares (food 15.6%, housing 22.5%, transport 12.2%)",2026-03-17T08:48:43Z
New Zealand,New Zealand,NZL,2022,individual,country-level per-capita proxy,"GNI per capita PPP (current international $), monthly equivalent",USD,4355.000000,monthly,856.458716,monthly,99.835000,143.992788,78.076090,471.113451,0.0800,63.441386,5.084892,4.084892,Composite baseline: FAO CoAHD food cost + OECD housing/transport share scaling + World Bank health expenditure + 8% contingency.,World Bank WDI NY.GNP.PCAP.PP.CD,World Bank WDI SH.XPD.CHEX.PP.CD,FAO CoAHD item 70040,"OECD household expenditure shares (food 15.6%, housing 22.5%, transport 12.2%)",2026-03-17T08:48:43Z
Sweden,Sweden,SWE,2022,individual,country-level per-capita proxy,"GNI per capita PPP (current international $), monthly equivalent",USD,5815.833333,monthly,1021.582083,monthly,106.531250,153.650841,83.312901,602.414345,0.0800,75.672747,5.692967,4.692967,Composite baseline: FAO CoAHD food cost + OECD housing/transport share scaling + World Bank health expenditure + 8% contingency.,World Bank WDI NY.GNP.PCAP.PP.CD,World Bank WDI SH.XPD.CHEX.PP.CD,FAO CoAHD item 70040,"OECD household expenditure shares (food 15.6%, housing 22.5%, transport 12.2%)",2026-03-17T08:48:43Z
United States of America,United States of America,USA,2022,individual,country-level per-capita proxy,"GNI per capita PPP (current international $), monthly equivalent",USD,6525.833333,monthly,1411.518564,monthly,80.050625,115.457632,62.603694,1048.849682,0.0800,104.556931,4.623271,3.623271,Composite baseline: FAO CoAHD food cost + OECD housing/transport share scaling + World Bank health expenditure + 8% contingency.,World Bank WDI NY.GNP.PCAP.PP.CD,World Bank WDI SH.XPD.CHEX.PP.CD,FAO CoAHD item 70040,"OECD household expenditure shares (food 15.6%, housing 22.5%, transport 12.2%)",2026-03-17T08:48:43Z
